recruitment_id,department,job_title,num_applicants,time_to_hire_days,cost_per_hire,source,offer_acceptance_rate,process_efficiency,cost_intensity,efficiency_ratio,complexity_flag,engagement_score,cost_index,dept_efficiency,cost_pressure,offer_readiness,process_intensity,efficiency_balance,applicant_density,operational_efficiency,is_referral,is_linkedin,is_recruiter,source_reputation,is_technical,is_hr_or_sales,role_efficiency_score,overall_efficiency_index,candidate_satisfaction
1,Engineering,Software Engineer,280,24,1400.38,Referral,0.98,1.7516533647471800,4.98355871886121,0.3514863799299370,1,0.7754122247302020,0.7768207444764070,0.7295962777275470,1087.8442341498700,0.5153847219843940,0.8758266823735910,0.3514863799299370,0.22553418677335000,0.020356791162996500,1,0,0,0.9,1,0,1.0947055656918600,-2.247502013735510,0.0
2,Sales,Account Executive,262,7,2730.45,LinkedIn,0.84,2.6796396630974300,10.381939163498100,0.2581058666200750,1,0.695517313306583,0.8312220847403260,0.6170145414846680,2269.610341279220,0.44366793529558000,1.3398198315487200,0.2581058666200750,0.6965192540222210,0.06268305295722050,0,1,0,0.5,0,1,1.5249241939941200,-6.347444466160290,0.0
3,Product,UX Designer,11,76,5286.12,LinkedIn,0.83,0.5720575413637170,440.51,0.0012986255478084,0,0.8005749356593120,1.058322836539560,0.7764278374541870,5594.421512688480,0.5810244477039380,0.5720575413637170,0.001298625547808430,0.032271514932311700,0.006588075937740780,0,1,0,0.5,1,0,0.7189571219181140,-183.59724394583000,0.0
4,Engineering,DevOps Engineer,238,26,5255.78,Recruiter,0.49,1.661630649386730,21.99071129707110,0.0755605651576843,1,0.8388692673450920,0.8239190010540960,0.8268884771581180,4330.3370073600900,0.516370308491601,0.830815324693367,0.07556056515768440,0.20283198340487100,0.0186136337791914,0,0,1,0.7,1,0,1.0788818678408000,-11.693979061174000,0.0
5,HR,Talent Acquisition,275,37,4987.03,LinkedIn,0.79,1.5450907879361200,18.06894927536230,0.085510821845744,1,0.6940500365814100,1.1668951457805000,0.723993768420333,5819.341098861700,0.4321624042457360,0.7725453939680580,0.08551082184574410,0.147905285939925,0.013258134711341100,0,1,0,0.5,0,1,0.9897435244941580,-7.300900668736560,0.0
6,Marketing,Marketing Specialist,150,24,3679.99,LinkedIn,0.82,1.5587056195373300,24.370794701986800,0.0639579289325486,0,0.7274319182752570,0.9893319563754500,0.726069789840438,3640.7317061420900,0.5482837707109640,1.5587056195373300,0.06395792893254860,0.20069119347259700,0.020135833023181300,0,1,0,0.5,0,0,1.1971737467208000,-15.340377810628600,0.0
7,Finance,Accountant,200,23,7261.14,Recruiter,0.89,1.668727212049280,36.125074626865700,0.0461930441138862,1,0.7688030939617700,1.0128392055916800,0.626484749575475,7354.367269289960,0.469362648214256,0.834363606024642,0.04619304411388630,0.22097103783579500,0.020902183562053800,0,0,1,0.7,0,0,1.0223090308972800,-16.85419360897300,0.0
8,HR,HR Coordinator,278,38,9435.37,Recruiter,0.84,1.537086672956750,33.81853046594980,0.0454510177209901,1,0.7856907580363120,0.958244054858816,0.6605822593535950,9041.387207893230,0.4800305565350220,0.768543336478374,0.04545101772099010,0.14439004568772700,0.012873499297304200,0,0,1,0.7,0,1,0.9667180142844530,-15.229576454528400,0.0
9,HR,Recruitment Specialist,221,69,5665.47,Job Portal,0.56,1.271668455315530,25.520135135135100,0.0498300028096144,1,0.702447294491586,1.1159271757815600,0.6464025909383740,6322.251936575150,0.432780536247357,0.635834227657764,0.049830002809614500,0.07718110545531830,0.00723109549936481,0,0,0,0.0,0,1,0.8297550049392760,-8.805225055385200,0.0
10,Sales,Business Development Manager,249,62,8363.04,Recruiter,0.6,1.3326771351872400,33.452160000000000,0.0398382972982595,1,0.8116401215499560,1.1174739831665500,0.7445063305984610,9345.4796201812,0.4956917998185050,0.6663385675936210,0.03983829729825950,0.08764223679146420,0.007996287660182140,0,0,1,0.7,0,1,0.8896904667731600,-14.3118007076377,0.0
11,Sales,Sales Associate,10,48,6363.54,Referral,0.95,0.6161372029336720,578.5036363636360,0.0010650532911798,0,0.8145208746843110,1.0502581527868300,0.758776662285225,6683.359765585080,0.5892302092238940,0.6161372029336720,0.0010650532911798800,0.04893663822037490,0.010282641905665700,1,0,0,0.9,0,1,0.7357016001524040,-250.34644485028600,0.0
12,Product,UX Designer,184,84,793.95,Recruiter,0.57,1.1750541565584000,4.291621621621620,0.2738018367780880,1,0.8869543288737970,1.0847183658861500,0.884682039385278,861.2121465953070,0.5888659933097730,0.5875270782791980,0.27380183677808800,0.0614159508832744,0.0065113233166717800,0,0,1,0.7,1,0,0.8529316900947810,-1.6532579958200000,0.0
13,HR,Recruitment Specialist,116,75,1830.5,Job Portal,0.61,1.0996229877508200,15.645299145299100,0.0702845568661858,0,0.7055712755661190,0.9681865495119360,0.6219694512831700,1772.2654788816000,0.5413658718865260,1.0996229877508200,0.07028455686618580,0.06266018335260210,0.0068519476414213300,0,0,0,0.0,0,1,0.9364023292603630,-7.4242332253364200,0.0
14,Product,UX Designer,258,69,8848.38,LinkedIn,0.34,1.3079520501049400,34.16362934362930,0.0382849257221529,1,0.8304281671803840,1.0813304510363600,0.7799603919465140,9568.02273634108,0.5067884428594360,0.6539760250524690,0.03828492572215290,0.0793832580242791,0.007199358276269880,0,1,0,0.5,1,0,0.8879641426364240,-14.923963685563100,0.0
